votu	lifestyle	avg_temperate_complete	diptest_ds	diptest_dnds
vOTU-000001	lytic	0.18942270989974938	0.00061263460276201	0.0004051084583783555
vOTU-000002	lytic	0.26111725663716817	0.03674460890011438	0.05011074463026532
vOTU-000004	lytic	0.21335227272727272	0.06646179459451262	0.11764466251540938
vOTU-000005	lytic	0.11650891342105263	0.02175713174966013	0.05689596013897866
vOTU-000010	lytic	0.07160000000000001	0.017036870343503506	0.023983091767325403
vOTU-000012	lytic	0.09360902255639098	0.014607211306084562	0.09104676953142161
vOTU-000017	lytic	0.05521741090000001	0.0020016295115788453	0.001940870381181704
vOTU-000018	lytic	0.11488636363636365	0.0034546237261632432	0.003998146077747908
vOTU-000020	lytic	0.01660714285714285	0.003811290518924687	0.0044666772367076635
vOTU-000021	lytic	0.06496212121212121	0.03270557618759991	0.07092784792420534
vOTU-000022	temperate	0.6850750246153845	0.007385407866404593	0.007401619276318443
vOTU-000023	lytic	0.05424421224489796	0.013390447660599186	0.020022704438907225
vOTU-000025	lytic	0.0686521340425532	0.006010391969790587	0.006936606758792147
vOTU-000027	lytic	0.13634608571428572	0.021352840844700682	0.03363439259449416
vOTU-000028	lytic	0.15535714285714286	0.05040842317298648	0.09726501049865682
vOTU-000029	lytic	0.178346495	0.004243138818308618	0.004495638447549642
vOTU-000030	lytic	0.2606961763636364	0.021290210871162833	0.0339878528302443
vOTU-000032	lytic	0.14844671	0.010918153117413072	0.008033237420753167
vOTU-000034	lytic	0.09111293069767444	0.006137459410559472	0.003948495417830478
vOTU-000035	temperate	0.9290625	0.00436282886456658	0.00306537119339831
vOTU-000036	lytic	0.25149837037037037	0.009804338461948125	0.02702878593335237
vOTU-000037	lytic	0.21801470588235294	0.014490864445829886	0.011830930081451462
vOTU-000038	lytic	0.03411140075409837	0.007657545843977767	0.0051277410597494666
vOTU-000039	temperate	0.8790760869565216	0.07155181448525413	0.12054626464577364
vOTU-000040	lytic	0.026662601590909094	0.008219745517631114	0.01772946556465921
vOTU-000041	lytic	0.27196611597435894	0.010157018562389895	0.014790150137764586
vOTU-000042	lytic	0.018972077511111112	0.00779548258033025	0.013448858926521519
vOTU-000045	lytic	0.1533854166666667	0.021517573736718622	0.07571176084889368
vOTU-000046	lytic	0.015369509785714285	0.004661705443243478	0.00522454635586169
vOTU-000047	lytic	0.22209279565217394	0.011404009838091249	0.007810141275568299
vOTU-000048	temperate	0.9567073170731708	0.058229652452462824	0.0840580104081776
vOTU-000049	temperate	0.9737068965517242	0.007314056575288171	0.02990022008667957
